,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count
7786,25507,853.0,48.3,43750.0,25655.0,96.0
7787,25508,9711.0,43.8,37668.0,20839.0,1591.0
7788,25510,5061.0,40.0,54375.0,24708.0,905.0
7789,25511,1149.0,39.9,40938.0,14598.0,303.0
7790,25512,1020.0,51.5,33313.0,15600.0,135.0
7791,25514,3501.0,45.1,30353.0,17562.0,1093.0
7792,25515,2312.0,45.4,41760.0,22081.0,374.0
7793,25517,2110.0,38.3,42659.0,19299.0,350.0
7794,25520,1737.0,37.5,44719.0,17426.0,282.0
7795,25521,959.0,28.9,33235.0,15812.0,365.0
7796,25523,2759.0,47.2,32261.0,20680.0,673.0
7797,25524,3377.0,42.0,42054.0,21454.0,740.0
7798,25526,22772.0,40.4,59836.0,30620.0,1946.0
7799,25529,1109.0,52.3,41815.0,19029.0,389.0
7800,25530,5174.0,42.6,37813.0,21929.0,794.0
7801,25534,318.0,52.1,9544.0,10042.0,125.0
7802,25535,3003.0,43.8,54605.0,26249.0,202.0
7803,25537,1528.0,58.9,41477.0,23885.0,152.0
7804,25540,178.0,37.1,21250.0,10065.0,68.0
7805,25541,8914.0,42.6,49924.0,25731.0,914.0
7806,25545,5262.0,42.1,59830.0,30052.0,305.0
7807,25547,911.0,41.9,-666666666.0,20399.0,124.0
7808,25550,8348.0,46.0,37467.0,21429.0,1179.0
7809,25555,1833.0,51.1,43884.0,24302.0,155.0
7810,25557,1559.0,47.2,35268.0,17428.0,281.0
7811,25559,2033.0,44.8,44714.0,19699.0,65.0
7812,25560,8288.0,41.3,72980.0,34922.0,303.0
7813,25564,1700.0,27.7,-666666666.0,17574.0,471.0
7814,25565,702.0,33.8,39049.0,20124.0,169.0
7815,25567,857.0,59.8,29423.0,19373.0,134.0
7816,25570,6419.0,39.9,26795.0,14084.0,2471.0
7817,25571,1939.0,43.8,36711.0,21270.0,595.0
7818,25573,1083.0,55.4,-666666666.0,23203.0,334.0
7819,25601,5468.0,42.3,46491.0,23094.0,1035.0
7820,25606,1312.0,34.9,38750.0,18187.0,415.0
7821,25607,897.0,38.7,32500.0,22958.0,225.0
7822,25608,1081.0,48.9,31540.0,17952.0,333.0
7823,25611,1189.0,39.2,64743.0,18859.0,133.0
7824,25617,664.0,44.4,60069.0,23993.0,140.0
7825,25621,2071.0,43.3,29674.0,18024.0,501.0
7826,25624,240.0,42.2,-666666666.0,20238.0,127.0
7827,25625,1504.0,40.9,39800.0,24095.0,56.0
7828,25628,474.0,48.1,47564.0,20292.0,75.0
