clearance_date,clearance_status,council_district,go_census_tract,go_district,go_highest_offense_desc,go_location,go_location_zip,go_primary_key,go_report_date,go_x_coordinate,go_y_coordinate,highest_nibrs_ucr_offense_description
3-Jan-16,C,4,18.06,E,AUTO THEFT                    ,8906 GEORGIAN DR                                                                                    ,78753,201620360,2-Jan-16,3128166,10103225,Auto Theft
2-Feb-16,N,2,24.3,F,THEFT                         ,7404 ONION CROSSING DR                                                                              ,78744,201620491,2-Jan-16,3112122,10035340,Theft
4-Feb-16,N,9,3.02,B,BURGLARY NON RESIDENCE        ,4113 GUADALUPE ST                                                                                   ,78751,201620596,2-Jan-16,3116337,10084882,Burglary
3-Jan-16,N,4,18.33,E,AUTO THEFT                    ,10106 WOODSTOCK DR                                                                                  ,78753,201620604,2-Jan-16,3134429,10105475,Auto Theft
14-Apr-16,C,5,17.46,F,THEFT BY SHOPLIFTING          ,9801 BRODIE LN                                                                                      ,78748,201620606,2-Jan-16,3082057,10040250,Theft
3-Jan-16,C,3,23.12,H,AUTO THEFT                    ,6300 MONSANTO DR                                                                                    ,78741,201620608,2-Jan-16,3129956,10060615,Auto Theft
5-Jan-16,N,6,204.08,A,ROBBERY BY ASSAULT            ,12621 HYMEADOW DR                                                                                   ,78729,201620622,2-Jan-16,3097641,10139458,Robbery
13-Jan-16,C,9,14.03,H,AGG ASSAULT FAM/DATE VIOLENCE ,1604 PARKER LN                                                                                      ,78741,201620626,2-Jan-16,3117851,10060538,Agg Assault
13-Jan-16,N,8,17.49,D,THEFT FROM AUTO               ,6600 S MOPAC EXPY SVRD SB                                                                           ,78749,201620645,2-Jan-16,3085207,10053239,Theft
23-Feb-16,N,2,24.19,F,SEXUAL ASSAULT W/ OBJECT      ,,78744,2016130348,13-Jan-16,,,Rape
10-Jan-16,C,6,203.18,A,THEFT BY SHOPLIFTING          ,11200 LAKELINE MALL DR                                                                              ,78613,201620670,2-Jan-16,3092524,10143916,Theft
