,Zipcode,Population,Median Age,Household Income,Per Capita Income
694,03263,4128,38,58302,24860
695,03264,7378,24.3,41175,19819
696,03266,2277,46.7,50972,27011
697,03268,1205,44.1,68589,29102
698,03269,2939,46.1,61542,29919
699,03273,275,44.9,81827,32434
700,03275,11585,39.4,61567,28843
701,03276,8410,41.6,56279,23804
702,03278,3012,44,58147,28026
703,03279,679,44.7,39375,21151
704,03280,1116,51,54792,31654
705,03281,8711,38,78810,31731
706,03282,999,50.3,42250,20530
707,03284,866,42.9,68646,29181
708,03285,2512,39.4,54464,26005
709,03287,1310,44.5,73664,32354
710,03290,4636,38.1,99167,39539
711,03291,50,20.9,,27220
712,03293,79,62.9,35417,20662
713,03301,33116,40.2,52465,30606
714,03303,15523,39.9,61152,27928
715,03304,7559,42.9,106593,43516
716,03307,5281,42.6,77903,35161
717,03431,25466,35.3,49046,26095
718,03440,2623,45.2,59798,27613
719,03441,384,36.8,56098,33957
720,03442,1347,39.3,65197,28202
721,03443,939,38.3,63355,22797
722,03444,1665,44,60583,29828
723,03445,749,35.9,78333,27785
724,03446,6246,42.7,57957,27500
725,03447,2389,48.7,66375,33378
726,03448,588,49.9,51447,25768
727,03449,1703,49.6,71250,40369
728,03450,857,51.6,57639,40225
729,03451,4081,46.1,47621,23905
730,03452,5498,43.1,56333,30439
731,03455,2077,45.6,60458,28055
732,03456,990,41.1,56917,23605
733,03457,895,50.3,63462,35279
734,03458,6654,48.6,68659,39605
735,03461,5991,26.5,65046,23642
736,03462,1596,44,93450,56192
737,03464,1000,43.2,70298,29079
738,03465,1974,36.7,55000,25560
739,03466,1115,45.2,86053,33030
740,03467,2045,47.7,76336,30954
741,03470,5086,42.8,44231,22430
742,03561,5968,45.9,45396,24785
743,03570,10126,45.2,38107,20418
744,03574,2502,46.3,50430,26446
745,03575,73,48.3,33750,19037
746,03576,3205,48.4,38420,24417
747,03579,457,51.9,34423,21989
748,03580,1499,49.6,64850,31394
749,03581,3263,43.8,43632,26917
750,03582,2795,44.5,39150,19477
751,03583,865,49.6,53571,32213
752,03584,3638,41.1,39620,27667
753,03585,2599,45.9,50057,27743
754,03586,629,52.3,70417,37437
755,03588,1750,47.9,55793,28034
756,03590,1175,47.8,33056,18032
757,03592,1266,57.7,37788,26035
758,03593,460,56.6,68558,35628
759,03595,578,42,47500,25634
760,03597,505,35.6,32917,14673
761,03598,3152,44.9,48487,23940
762,03601,490,34.8,52500,18618
763,03602,2570,41.1,57353,27598
764,03603,5486,46.7,48422,24660
765,03604,250,45.3,192759,53658
766,03605,1144,39.7,58594,24581
767,03607,261,50.9,40417,23418
768,03608,2227,41.4,61375,25820
769,03609,1267,34.3,56442,20546
770,03740,733,45.8,46618,21100
771,03741,4213,44.3,62243,27359
772,03743,14200,40.4,39670,22229
773,03745,1520,42.4,69091,30909
774,03746,175,54.2,73393,37564
775,03748,4625,42.5,71645,37556
776,03750,883,39.4,107885,58640
777,03751,593,51.4,82000,41098
778,03752,816,47.4,52344,29057
779,03753,2914,45.8,89125,39304
780,03754,41,68.5,,17885
781,03755,10395,22.2,90893,32204
782,03765,576,44.9,24694,22562
783,03766,9310,41.6,54716,32669
784,03768,1950,44.1,92143,52138
785,03770,445,42.2,111771,32421
786,03771,918,47.4,56080,25863
787,03773,7833,45.1,47040,23604
788,03774,1415,51.2,45110,26836
789,03777,1332,40.7,73875,32707
